Distrito;Oferta_m2;Tendencia_Anual;Alquiler_Medio_m2;Fuente_Oferta
Casco Antiguo;4236;9.6;14.6;Brains RE Q1-2026 / Idealista May-2026
Nervión;3682;9.2;13.6;Brains RE Q1-2026 / Idealista May-2026
Triana;3770;13.6;14.7;Brains RE Q1-2026 / Idealista May-2026
Los Remedios;3891;7.5;14.5;Brains RE Q1-2026 / Idealista May-2026
Sur;2744;8.2;12.4;Brains RE Q1-2026 / Idealista Dic-2025
San Pablo-Santa Justa;2720;10.2;12.4;Brains RE Q1-2026 / Idealista May-2026
Bellavista-La Palmera;2644;11.3;11.8;Brains RE Q1-2026 / Idealista May-2026
Macarena;2463;9.6;11.9;Brains RE Q1-2026 / Idealista May-2026
Este-Alcosa-Torreblanca;1855;7.4;11.5;Brains RE Q1-2026 / Idealista May-2026
Norte;1673;11.5;11.2;Brains RE Q1-2026 / Idealista May-2026
Cerro-Amate;1490;9.6;11.8;Brains RE Q1-2026 / Idealista May-2026
